state,county,damageCategory,structureType,typeOfResidency,foundationType,actualAmountPaid,numberOfProperties,propertyAction,propertyPartOfProject,programFy,date_approved_proxy,totalMitigationCost
Wisconsin,Trempealeau,50 - 99%,Single Family,Owner Occupied - Principal Residence,"Elevated On Piers, Piles, Posts Or Columns",105000.0,1,Acquisition/Demolition,Unknown,2001,2001-09-30,105000.0
West Virginia,Wyoming,Unknown,Single Family,Owner Occupied - Principal Residence,Other (Specify In Comments),240.0,1,Acquisition/Demolition,Unknown,2001,2001-09-30,240.0
Texas,Harris,50 - 99%,Single Family,Owner Occupied - Principal Residence,Slab On Grade,49935.0,1,Acquisition/Demolition,Unknown,2001,2001-09-30,49935.0
Kentucky,Christian,Unknown,Single Family,Rental,Crawl Space,49300.0,1,Acquisition/Demolition,Unknown,2002,2002-09-30,49300.0
Pennsylvania,Allegheny,0 - 49%,Single Family,Owner Occupied - Principal Residence,Basement,77000.0,1,Unknown,Unknown,2005,2005-09-30,77000.0
Louisiana,Orleans,50 - 99%,Single Family,Owner Occupied - Principal Residence,Slab On Grade,0.0,1,Other (Specify In Comments),Unknown,2005,2005-09-30,0.0
Louisiana,Orleans,0 - 49%,Single Family,Unknown,Slab On Grade,7480.0,1,Unknown,Unknown,2005,2005-09-30,7480.0
Florida,Collier,Unknown,Single Family,Unknown,Slab On Grade,15385.0,1,Wind Retrofit,Unknown,2009,2009-09-30,15385.0
Alabama,Bibb,Unknown,Single Family,Owner Occupied - Principal Residence,Crawl Space,3918.0,1,Safe Room/Wind Shelter,Unknown,2011,2011-09-30,3918.0
Alabama,Cullman,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,3746.0,1,Safe Room/Wind Shelter,Unknown,2011,2011-09-30,3746.0
Alabama,Elmore,100%,Single Family,Owner Occupied - Principal Residence,Slab On Grade,4000.0,1,Safe Room/Wind Shelter,Unknown,2011,2011-09-30,4000.0
Ohio,Defiance,0 - 49%,Single Family,Owner Occupied - Principal Residence,Crawl Space,60500.0,1,Acquisition/Demolition,Unknown,2011,2011-09-30,60500.0
Florida,Columbia,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,8332.0,1,Acquisition/Demolition,Unknown,2012,2012-09-30,8332.0
Louisiana,Plaquemines,Unknown,Single Family,Owner Occupied - Principal Residence,Crawl Space,115391.0,1,Elevation,Unknown,2012,2012-09-30,115391.0
Colorado,El Paso,100%,Single Family,Rental,Basement,504023.0,1,Acquisition/Demolition,Unknown,2013,2013-09-30,504023.0
Oklahoma,Oklahoma,Unknown,Single Family,Unknown,Slab On Grade,169900.0,1,Acquisition/Demolition,Unknown,2017,2017-09-30,169900.0
Oklahoma,Major,Unknown,Single Family,Unknown,Slab On Grade,2000.0,1,Safe Room/Wind Shelter,Unknown,2017,2017-09-30,2000.0
Texas,Orange,Unknown,Vacant Land,Unknown,Vacant Land,0.0,1,Elevation,Unknown,2017,2017-09-30,0.0
Oklahoma,Carter,Unknown,Single Family,Owner Occupied - Principal Residence,Crawl Space,1987.0,1,Safe Room/Wind Shelter,Unknown,2017,2017-09-30,1987.0
Oklahoma,Stephens,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,2000.0,1,Safe Room/Wind Shelter,Unknown,2018,2018-09-30,2000.0
Oklahoma,Ottawa,50 - 99%,Non-Residential - Private,Unknown,"Elevated On Piers, Piles, Posts Or Columns",23500.0,1,Acquisition/Demolition,Unknown,2019,2019-09-30,23500.0
North Dakota,Cass,Unknown,Single Family,Owner Occupied - Principal Residence,Basement,397000.0,1,Acquisition/Demolition,Unknown,2020,2020-09-30,397000.0
North Dakota,Cass,Unknown,Single Family,Owner Occupied - Principal Residence,Basement,263000.0,1,Acquisition/Demolition,Unknown,2020,2020-09-30,263000.0
North Dakota,Cass,Unknown,Single Family,Unknown,Basement,329500.0,1,Acquisition/Demolition,Unknown,2020,2020-09-30,329500.0
Oklahoma,Love,Unknown,Manufactured Home,Owner Occupied - Principal Residence,"Elevated On Piers, Piles, Posts Or Columns",3290.0,1,Safe Room/Wind Shelter,Unknown,2021,2021-09-30,3290.0
Oklahoma,Love,Unknown,Single Family,Owner Occupied - Principal Residence,Slab On Grade,3290.0,1,Safe Room/Wind Shelter,Unknown,2021,2021-09-30,3290.0
Iowa,Scott,0 - 49%,Single Family,Primary,Basement,31367.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,31367.0
Iowa,Scott,0 - 49%,Single Family,Unknown,Basement,56129.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,56129.0
Kansas,Labette,0 - 49%,Single Family,Primary,Crawl Space,10297.0,1,Acquisition/Demolition,1.0,2000,2000-09-30,10297.0
