projectIdentifier,programArea,programFy,disasterNumber,propertyPartOfProject,propertyAction,structureType,typeOfResidency,foundationType,county,city,state,stateNumberCode,region,zip,damageCategory,actualAmountPaid,numberOfProperties,id
DR-1260-0008-R,HMGP,1999,1260,,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Knox,KNOXVILLE,Tennessee,47,4,37918,0 - 49%,,1,712dd9e6-386a-420b-95c5-52bf7e38b453
DR-1260-0008-R,HMGP,1999,1260,,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Knox,KNOXVILLE,Tennessee,47,4,37938,0 - 49%,,5,348d7a92-1078-4e55-a4e0-3ce9877813a6
DR-1276-0003-R,HMGP,1999,1276,,,Single Family,Owner Occupied - Principal Residence,Other (Specify in Comments),Otero,LA JUNTA,Colorado,8,8,81050,50 - 99%,,1,65937fbc-1966-45e0-827f-ad4d31881d5b
DR-1277-0008-R,HMGP,1999,1277,,,2-4 Family,,Basement,,CENTRAL CITY,Iowa,19,7,52214,0 - 49%,,1,e8df70b9-485a-471a-b166-28ea0fb3464c
DR-1277-0001-R,HMGP,1999,1277,,,Single Family,Owner Occupied - Principal Residence,Basement,Black Hawk,DUNKERTON,Iowa,19,7,50626,50 - 99%,,3,a51b7795-1cb4-4bba-aecc-f7dd33fd242b
DR-1277-0001-R,HMGP,1999,1277,,,Single Family,Owner Occupied - Principal Residence,Basement,Black Hawk,DUNKERTON,Iowa,19,7,50626,N/A,,1,422e3b2f-99e5-48e6-b3ff-9445f60ee4e5
DR-1277-0002-R,HMGP,1999,1277,,,Single Family,Owner Occupied - Principal Residence,Basement,Buchanan,INDEPENDENCE,Iowa,19,7,50644,50 - 99%,,1,fa306cf3-87c5-4911-ab56-49d6fc895961
DR-1277-0004-R,HMGP,1999,1277,,,Single Family,Owner Occupied - Principal Residence,Crawl Space,Black Hawk,CEDAR FALLS,Iowa,19,7,50613,50 - 99%,,9,5075dd6d-f6a4-4a23-a845-bf90d5c356af
DR-1277-0001-R,HMGP,1999,1277,,,Single Family,Owner Occupied - Principal Residence,Crawl Space,Black Hawk,DUNKERTON,Iowa,19,7,50626,50 - 99%,,1,6f57fb83-8f54-4afc-849d-bec95e7b879b
DR-1277-0005-R,HMGP,1999,1277,,,Single Family,Owner Occupied - Principal Residence,Crawl Space,Buchanan,LITTLETON,Iowa,19,7,50648,50 - 99%,,1,358d17c2-ad4f-42a8-b999-8993042c4b80
DR-1278-0001-R,HMGP,1999,1278,,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Jo Daviess,EAST DUBUQUE,Illinois,17,5,61025,N/A,,2,5f27035c-2e6b-41d2-8610-0a8299409136
DR-1279-0002-R,HMGP,1999,1279,,,Single Family,Not Applicable,Basement,Ramsey,CHURCHS FERRY,North Dakota,38,8,58325,N/A,,1,66f6496b-aa9a-4e50-b4f2-42737948a1c3
DR-1282-0015-R,HMGP,1999,1282,,,Single Family,Owner Occupied - Principal Residence,Basement,Black Hawk,CEDAR FALLS,Iowa,19,7,50613,50 - 99%,,9,185bd985-8857-41a6-b58a-b2996b976dfa
DR-1282-0006-R,HMGP,1999,1282,,,Single Family,Owner Occupied - Principal Residence,Basement,Bremer,WAVERLY,Iowa,19,7,50677,50 - 99%,,2,792f78c0-2152-4b54-8c31-e891d6bed4e0
DR-1282-0002-R,HMGP,1999,1282,,,Single Family,Owner Occupied - Principal Residence,Basement,Butler,NEW HARTFORD,Iowa,19,7,50660,50 - 99%,,1,4b504b5f-9103-4ab2-87c2-1e89c36a80a7
DR-1282-0014-R,HMGP,1999,1282,,,Single Family,Owner Occupied - Principal Residence,Basement,Floyd,FLOYD COUNTY,Iowa,19,7,50616,50 - 99%,,1,bb80b95a-e0f0-4a80-ab1f-cb3470170e03
DR-1282-0012-R,HMGP,1999,1282,,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Linn,BUFFALO TOWNSHIP,Iowa,19,7,52401,50 - 99%,,1,06654a30-6e98-4cad-9f7e-6c81bcf5543b
DR-1282-0012-R,HMGP,1999,1282,,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Linn,SPRING GROVE TOWNSHIP,Iowa,19,7,52401,50 - 99%,,1,7ee5d264-b7d8-46c4-9661-0bb6ab87667e
DR-1282-0004-R,HMGP,1999,1282,,,Single Family,,Basement,Bremer,WAVERLY,Iowa,19,7,50677,50 - 99%,,1,2dccdbcf-a3eb-47cd-9406-6607da7e3545
DR-1283-0003-R,HMGP,1999,1283,,,Single Family,,Other (Specify in Comments),Cook,GRAND MARAIS,Minnesota,27,5,55604,N/A,,1,fc6f8cf6-b101-457b-ae68-a130e453b499
DR-1283-0006-R,HMGP,1999,1283,,,Single Family,,Other (Specify in Comments),Cook,GRAND RAPIDS,Minnesota,27,5,00556,N/A,,1,675b1433-bbfd-47a6-ab41-8338082c68c2
DR-1287-0003-R,HMGP,1999,1287,,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,PASADENA,Texas,48,6,77505,50 - 99%,,1,fd5ec187-2526-4c1f-a2c0-de9c7c8be9e2
DR-1292-0037-R,HMGP,1999,1292,,Acquisition/Demolition,Single Family,Not Applicable,Crawl Space,Bladen,BLADENBORO,North Carolina,37,4,28320,50 - 99%,,1,ef90633c-a202-4e28-ad26-b4daf0790d78
DR-1292-0029-R,HMGP,1999,1292,,,2-4 Family,Not Applicable,Crawl Space,Edgecombe,TARBORO,North Carolina,37,4,27886,50 - 99%,,1,d6d370d9-0bf2-4c89-931f-0a9c88b4f528
DR-1292-0006-R,HMGP,1999,1292,,,2-4 Family,Owner Occupied - Secondary Residence,Crawl Space,Lenoir,GRIFTON,North Carolina,37,4,28530,N/A,,1,50b70b0c-4c51-4593-b260-545be965d6ac
DR-1292-0057-R,HMGP,1999,1292,,,Manufactured Home,Not Applicable,Crawl Space,Pender,BURGAW,North Carolina,37,4,28425,50 - 99%,,4,7729bafc-eab0-4f11-9d3d-a1f18f38a64b
DR-1292-0028-R,HMGP,1999,1292,,,Manufactured Home,Not Applicable,Other (Specify in Comments),Wilson,WILSON,North Carolina,37,4,27893,50 - 99%,,1,8f3657f5-3062-4f2e-b0f3-77e657982c61
DR-1292-0006-R,HMGP,1999,1292,,,Manufactured Home,Owner Occupied - Principal Residence,"Elevated on Piers, Piles, Posts or Columns",Lenoir,GRIFTON,North Carolina,37,4,28530,N/A,,3,fe2cfd37-0acb-4158-b214-47985ef655ce
DR-1292-0028-R,HMGP,1999,1292,,,Manufactured Home,Owner Occupied - Principal Residence,"Elevated on Piers, Piles, Posts or Columns",Wilson,WILSON,North Carolina,37,4,27893,50 - 99%,,1,1df8f966-03ee-4118-8744-e3f213a7cdff
DR-1292-0028-R,HMGP,1999,1292,,,Manufactured Home,Owner Occupied - Principal Residence,Other (Specify in Comments),Wilson,WILSON,North Carolina,37,4,27893,50 - 99%,,1,49217447-03b5-40d6-9bca-9bc86b0aac8e
DR-1292-0006-R,HMGP,1999,1292,,,Manufactured Home,Owner Occupied - Secondary Residence,"Elevated on Piers, Piles, Posts or Columns",Lenoir,GRIFTON,North Carolina,37,4,28530,N/A,,9,754ce91d-e7fa-41b8-9728-2f3196a10edd
DR-1292-0006-R,HMGP,1999,1292,,,Manufactured Home,Owner Occupied - Secondary Residence,"Elevated on Piers, Piles, Posts or Columns",Lenoir,GRIFTON ,North Carolina,37,4,28530,N/A,,1,ba63d3eb-15fc-48a0-b5ec-0c2e4ad82111
DR-1292-0008-R,HMGP,1999,1292,,,Manufactured Home,Owner Occupied - Secondary Residence,"Elevated on Piers, Piles, Posts or Columns",Pitt,GREENVILLE,North Carolina,37,4,27858,N/A,,3,9140ffb7-b229-4f83-b0e3-c71eb645c8a3
DR-1292-0006-R,HMGP,1999,1292,,,Manufactured Home,,"Elevated on Piers, Piles, Posts or Columns",Lenoir,GRIFTON,North Carolina,37,4,28530,N/A,,2,3222a0ee-f6cd-42db-8795-5226fae19b62
DR-1292-0008-R,HMGP,1999,1292,,,Multi-Family Dwelling - 5 or More Units,Owner Occupied - Secondary Residence,"Elevated on Piers, Piles, Posts or Columns",Pitt,GREENVILLE,North Carolina,37,4,27858,N/A,,1,a7a340a1-dc39-4fbc-b569-cb4a17a794df
DR-1292-0028-R,HMGP,1999,1292,,,Other (Specify in Comments),Not Applicable,Other (Specify in Comments),Wilson,WILSON,North Carolina,37,4,27893,N/A,,1,5cef3063-6c73-4ab9-8c8a-324df5b9702c
DR-1292-0024-R,HMGP,1999,1292,,,Single Family,Not Applicable,Crawl Space,Edgecombe,SPEED,North Carolina,37,4,27881,N/A,,2,76db4d6b-8080-4633-91e2-4df4c8db5c72
DR-1292-0053-R,HMGP,1999,1292,,,Single Family,Not Applicable,Crawl Space,Lenoir,KINSTON,North Carolina,37,4,28501,N/A,,1,811bd2f0-5e63-48b4-9506-4672f4b95bce
DR-1292-0006-R,HMGP,1999,1292,,,Single Family,Owner Occupied - Principal Residence,Crawl Space,Lenoir,GRIFTON,North Carolina,37,4,28530,N/A,,1,10a66f86-ce1c-4a01-8ba9-aa6f52b220ed
DR-1292-0008-R,HMGP,1999,1292,,,Single Family,Owner Occupied - Principal Residence,Crawl Space,Pitt,GREENVILLE,North Carolina,37,4,27858,N/A,,1,906fa3b2-d3eb-4d19-b1c8-871da7e5c9b5
DR-1292-0006-R,HMGP,1999,1292,,,Single Family,Owner Occupied - Secondary Residence,Crawl Space,Lenoir,GRIFTON,North Carolina,37,4,28530,N/A,,8,93e74b89-c4c7-4a73-8b16-86bca8eec909
DR-1292-0008-R,HMGP,1999,1292,,,Single Family,Owner Occupied - Secondary Residence,Crawl Space,Pitt,GREENVILE,North Carolina,37,4,27858,N/A,,1,4315bb8b-6c8e-4f4a-a163-89203b2588b9
DR-1292-0008-R,HMGP,1999,1292,,,Single Family,Owner Occupied - Secondary Residence,Crawl Space,Pitt,GREENVILLE,North Carolina,37,4,27858,N/A,,5,cca5dc80-efee-4dbb-b2e1-b7a73b652eed
DR-1292-0038-R,HMGP,1999,1292,,,Single Family,,Crawl Space,,WASHINGTON,North Carolina,37,4,27889,N/A,,5,01932dab-bb07-4126-8772-3d5491062649
DR-1292-0013-R,HMGP,1999,1292,,,Single Family,Not Applicable,Crawl Space,,GRIFTON,,,,28530,N/A,,1,f0b270af-c847-40be-80e3-6a1101a8da69
DR-1293-0004-R,HMGP,1999,1293,,,Single Family,Owner Occupied - Principal Residence,Crawl Space,,WILSON,North Carolina,37,4,27893,N/A,,1,49a653f6-bcf4-4a55-ab16-fbfdb1e8170a
DR-1293-0025-R,HMGP,1999,1293,,,Non-residential - Private,Not Applicable,Basement,,BOYKINS,Virginia,51,3,23827,N/A,,1,bb8bad91-e4c3-464e-9396-c549655b495a
DR-1293-0026-R,HMGP,1999,1293,,,Non-residential - Private,,Slab on Grade,,FRANKLIN,Virginia,51,3,23051,N/A,,1,f83e53fe-d470-474d-b730-bdf1790f725f
DR-1294-0005-R,HMGP,1999,1294,,,Single Family,Owner Occupied - Principal Residence,Other (Specify in Comments),,WASHINGTON,North Carolina,37,4,27889,N/A,,1,980bff77-6526-4927-bc5e-60ea5d890344
DR-1294-0005-R,HMGP,1999,1294,,Acquisition/Demolition,2-4 Family,Owner Occupied - Principal Residence,Other (Specify in Comments),,HULMEVILLE,Pennsylvania,42,3,19047,N/A,,2,39017886-f3db-4980-afef-bd8e243eadab
DR-1294-0005-R,HMGP,1999,1294,,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Other (Specify in Comments),Bucks,HULMEVILLE,Pennsylvania,42,3,19047,N/A,,2,5546ea61-9833-4acf-8ea9-3bd06ed10aff
DR-1294-0005-R,HMGP,1999,1294,,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Other (Specify in Comments),,HULMEVILLE,Pennsylvania,42,3,19047,N/A,,4,f1cd1c0b-6f10-4920-b596-adea983b874c
DR-1294-0002-R,HMGP,1999,1294,,,Single Family,Owner Occupied - Principal Residence,Other (Specify in Comments),Delaware,COLWYN,Pennsylvania,42,3,19023,N/A,,1,23136af8-ec5d-41c5-aea9-a5c2d5160205
DR-1294-0005-R,HMGP,1999,1294,,,Single Family,Owner Occupied - Principal Residence,Other (Specify in Comments),,HULMEVILLE,Pennsylvania,42,3,19047,N/A,,2,8e901592-492e-4395-ba70-e53b4db40319
DR-1294-0004-R,HMGP,1999,1294,,,Single Family,,Other (Specify in Comments),Bucks,LANGHHORNE,Pennsylvania,42,3,19053,N/A,,1,3cf7643c-6f03-4ba9-af8b-906003edae87
DR-1294-0004-R,HMGP,1999,1294,,,Single Family,,Other (Specify in Comments),Bucks,LANGHORNE,Pennsylvania,42,3,19053,N/A,,6,9dbfbf80-884c-41fc-8673-cc5f24bb4d8a
DR-1294-0002-R,HMGP,1999,1294,,,Single Family,,Other (Specify in Comments),Delaware,COLWYN,Pennsylvania,42,3,19023,N/A,,1,350f1eda-5aff-497b-8c1a-9e912f8d1b70
DR-1295-0006-R,HMGP,1999,1295,,Acquisition/Demolition,Single Family,,Basement,,SOMERVILLE,New Jersey,34,2,08876,N/A,,2,5498e0a7-a723-4da6-a7f2-dd8a239804e4
DR-1295-0006-R,HMGP,1999,1295,,Acquisition/Demolition,Single Family,,Crawl Space,,SOMERVILLE,New Jersey,34,2,08876,N/A,,3,8802c055-bfaa-456a-9f7e-7bb5f9d5f2b5
DR-1295-0008-R,HMGP,1999,1295,,Acquisition/Relocation,Single Family,,Crawl Space,,BELLE MEAD,New Jersey,34,2,08502,N/A,,1,5369cf8d-b2d2-4a40-a58e-d0190c32e8bb
DR-1295-0010-R,HMGP,1999,1295,,Elevation,Single Family,,Basement,,SPRINGFIELD,New Jersey,34,2,07081,N/A,,1,74f05d4b-6633-4571-bb05-6260582b619f
DR-1295-0007-R,HMGP,1999,1295,,Elevation,Single Family,,Crawl Space,,BELLE MEAD,New Jersey,34,2,08502,N/A,,1,fb946496-ef5f-4556-94f5-339384694e74
DR-1295-0007-R,HMGP,1999,1295,,Elevation,Single Family,,Slab on Grade,,NESHANIC,New Jersey,34,2,08853,N/A,,1,7fdbcf3b-adec-43fb-b097-2b528f53f742
DR-1295-0008-R,HMGP,1999,1295,,,Single Family,,Crawl Space,,BELLE MEAD,New Jersey,34,2,08502,N/A,,1,a6f3844d-555f-482f-b3f1-3cb86c2eb20b
DR-1296-0004-R,HMGP,1999,1296,,,Single Family,,Basement,,UPPER JAY,New York,36,2,12987,N/A,,1,37a789d7-b4fa-458b-a34c-7c1bba6c9946
DR-1299-0005-R,HMGP,1999,1299,,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Crawl Space,Horry,CONWAY,South Carolina,45,4,29526,0 - 49%,,2,5bfbd38d-1c9f-49c2-bf1d-142119e09d6d
DR-1299-0015-R,HMGP,1999,1299,,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Crawl Space,Horry,CONWAY,South Carolina,45,4,29526,50 - 99%,,3,1afea1d4-ae03-47e4-bdf2-e84d1c01a159
