state,numberOfProperties,actualAmountPaid,paid_m,pct_national
Alabama,2256,1025437246.0,1025.44,9.1
Alaska,175,15674882.0,15.67,0.1
Arizona,41,1109982.0,1.11,0.0
Arkansas,93,80959514.0,80.96,0.7
California,6344,7637979.0,7.64,0.1
Colorado,59,19429333.0,19.43,0.2
Connecticut,32,32228727.0,32.23,0.3
Delaware,4,927464.0,0.93,0.0
Florida,14064,1081829423.0,1081.83,9.6
Georgia,304,36113992.0,36.11,0.3
Idaho,1,100000.0,0.1,0.0
Illinois,715,111444391.0,111.44,1.0
Indiana,693,35898539.0,35.9,0.3
Iowa,1551,200470028.0,200.47,1.8
Kansas,588,184496057.0,184.5,1.6
Kentucky,462,39492716.0,39.49,0.4
Louisiana,2236,288088929.0,288.09,2.6
Maine,14,1295743.0,1.3,0.0
Maryland,134,19727014.0,19.73,0.2
Massachusetts,5,572201.0,0.57,0.0
Michigan,72,160939302.0,160.94,1.4
Minnesota,216,228050331.0,228.05,2.0
Mississippi,9211,575963898.0,575.96,5.1
Missouri,816,2605332253.0,2605.33,23.2
Montana,47,1122418.0,1.12,0.0
Nebraska,126,29015467.0,29.02,0.3
Nevada,1,469497.0,0.47,0.0
New Hampshire,18,1018136.0,1.02,0.0
New Jersey,337,60276571.0,60.28,0.5
New York,1008,99176568.0,99.18,0.9
North Carolina,723,62393491.0,62.39,0.6
North Dakota,210,56228892.0,56.23,0.5
Ohio,884,74455523.0,74.46,0.7
Oklahoma,9986,489961201.0,489.96,4.4
Oregon,136,16936492.0,16.94,0.2
Pennsylvania,951,1006347643.0,1006.35,8.9
Rhode Island,15,2103353.0,2.1,0.0
South Carolina,167,15093698.0,15.09,0.1
South Dakota,138,2073641.0,2.07,0.0
Tennessee,623,88995003.0,89.0,0.8
Texas,7607,649557233.0,649.56,5.8
Utah,6,7106399.0,7.11,0.1
Vermont,55,6681814.0,6.68,0.1
Virginia,279,24135471.0,24.14,0.2
Washington,547,1703430272.0,1703.43,15.1
West Virginia,928,55605449.0,55.61,0.5
Wisconsin,440,43265144.0,43.27,0.4
Wyoming,6,539858.0,0.54,0.0
