state,numberOfProperties,actualAmountPaid,paid_m
Alabama,2256,1025437246.0,1025.44
Alaska,175,15674882.0,15.67
Arizona,41,1109982.0,1.11
Arkansas,93,80959514.0,80.96
California,6344,7637979.0,7.64
Colorado,59,19429333.0,19.43
Connecticut,32,32228727.0,32.23
Delaware,4,927464.0,0.93
Florida,14064,1081829423.0,1081.83
Georgia,304,36113992.0,36.11
Idaho,1,100000.0,0.1
Illinois,715,111444391.0,111.44
Indiana,693,35898539.0,35.9
Iowa,1551,200470028.0,200.47
Kansas,588,184496057.0,184.5
Kentucky,462,39492716.0,39.49
Louisiana,2236,288088929.0,288.09
Maine,14,1295743.0,1.3
Maryland,134,19727014.0,19.73
Massachusetts,5,572201.0,0.57
Michigan,72,160939302.0,160.94
Minnesota,216,228050331.0,228.05
Mississippi,9211,575963898.0,575.96
Missouri,816,2605332253.0,2605.33
Montana,47,1122418.0,1.12
Nebraska,126,29015467.0,29.02
Nevada,1,469497.0,0.47
New Hampshire,18,1018136.0,1.02
New Jersey,337,60276571.0,60.28
New York,1008,99176568.0,99.18
North Carolina,723,62393491.0,62.39
North Dakota,210,56228892.0,56.23
Ohio,884,74455523.0,74.46
Oklahoma,9986,489961201.0,489.96
Oregon,136,16936492.0,16.94
Pennsylvania,951,1006347643.0,1006.35
Rhode Island,15,2103353.0,2.1
South Carolina,167,15093698.0,15.09
South Dakota,138,2073641.0,2.07
Tennessee,623,88995003.0,89.0
Texas,7607,649557233.0,649.56
Utah,6,7106399.0,7.11
Vermont,55,6681814.0,6.68
Virginia,279,24135471.0,24.14
Washington,547,1703430272.0,1703.43
West Virginia,928,55605449.0,55.61
Wisconsin,440,43265144.0,43.27
Wyoming,6,539858.0,0.54
