programFy,numberOfProperties,actualAmountPaid,avg_per_property,paid_m
2000,836,811469152.0,970657.0,811.47
2001,4018,1077226309.0,268100.0,1077.23
2002,895,80532387.0,89980.0,80.53
2003,1359,333292249.0,245248.0,333.29
2004,10456,213036766.0,20375.0,213.04
2005,11735,368125670.0,31370.0,368.13
2006,2393,193780800.0,80978.0,193.78
2007,1141,102097756.0,89481.0,102.1
2008,4504,2201573471.0,488804.0,2201.57
2009,1853,148143728.0,79948.0,148.14
2010,2437,346643918.0,142242.0,346.64
2011,7237,1781623382.0,246183.0,1781.62
2012,595,29722274.0,49953.0,29.72
2013,3397,348012502.0,102447.0,348.01
2014,624,172252017.0,276045.0,172.25
2015,1607,449393986.0,279648.0,449.39
2016,1239,89993388.0,72634.0,89.99
2017,1808,2369972765.0,1310826.0,2369.97
2018,5346,56532565.0,10575.0,56.53
2019,1384,47488515.0,34313.0,47.49
2020,69,14036737.0,203431.0,14.04
2021,248,529958.0,2137.0,0.53
2022,143,13728883.0,96006.0,13.73
